title,link
2006-Dare to Be Great II.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2014-04-08-dare-to-be-great-ii.pdf?sfvrsn=2
2006-It Is What It Is.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2006-03-27-it-is-what-it-is.pdf?sfvrsn=2
2006-Pigweed.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2006-12-07-pigweed.pdf?sfvrsn=2
"2006-Returns, Absolute Returns and Risk.pdf",https://www.oaktreecapital.com/docs/default-source/memos/2006-06-13-returns-absolute-returns-and-risk.pdf?sfvrsn=2
2006-Risk Revisited Again.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2015-06-08-risk-revisited-again.pdf?sfvrsn=2
2006-The New Paradigm.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2006-10-19-the-new-paradigm.pdf?sfvrsn=2
2006-You Can’t Eat IRR.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2006-07-12-you-cant-eat-irr.pdf?sfvrsn=2
2007-Everyone Knows.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2007-04-26-everyone-knows.pdf?sfvrsn=2
2007-It’s All Good . . . Really?.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2007-07-30-its-all-good-really.pdf?sfvrsn=2
2007-It’s All Good.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2007-07-16-its-all-good.pdf?sfvrsn=2
2007-No Different This Time – The Lessons of ‘07.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2007-12-17-no-different-this-time-the-lessons-of-07.pdf?sfvrsn=2
2007-Now It’s All Bad?.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2007-09-10-now-its-all-bad.pdf?sfvrsn=2
2007-The Race to the Bottom.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2007-02-14-the-race-to-the-bottom.pdf?sfvrsn=2
2008-Doesn’t Make Sense.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2008-07-31-doesnt-make-sense.pdf?sfvrsn=2
